vanlig glada,vanlig glada
glada,fiskgjuse
glada,sparvhök
glada,vråk
glasögonand,vitnackad svärta
glasögonejder,glasögonejder
glasögonstarik,starik
glavu,dvärgmås
glib,strandskata
glib,fisktärna
glip(a),strandskata
glop,ung tjädertupp
glottertrast,björktrast
glutt,gluttsnäppa
gluttsnäppa,gluttsnäppa
glypa,strandskata
glåptrut,havstrut
glänta,vanlig glada
gnarp,kornknarr
gnissla,tobisgrissla
gnällvinge,knipa
gola pititjitto,gulärla
golasparv,gulsparv
golatjitto,gulsparv
golatjittsparv,gulsparv
golkvärn (gole-),kaja
granbäss-sparv,korsnäbb
granfågel,gransångare
granjärpe,snäppa
grankäxa,gransångare
granlus,kungsfågel
granlus,kärrmes
granlus,tofsmes
granskjura,lavskrika
granskrika,lavskrika
granskrika,nötskrika
gransmyg,gransångare
gransparv,pilfink
gransångare,gransångare
sibirisk gransångare,sibirisk gransångare
sydväst europeisk,sydväst europeisk
grantolk,taltrast
gra-skräcka,tobisgrissla
grågraut(e)l (grautle),tobisgrissla
gravajling,kråka
gravand,gravand
rödgul gravand,rostand
gravgås,gravand
grejmsvärti,svärta
gresla,tobisgrissla
gridelinstare,stare
grill,större strandpipare
grilla (-e),större strandpipare 
grilla (-e),tobisgrissla
grimgås,vitkindad gås
grimgäss,vitkindad gås
grimsvärta,svärta
grischl,tobisgrissla
grislo,tobisgrissla
grissel,tobisgrissla
grisselpojke,tobisgrissla
Briinnichs grissla,spetsbergsgrissla
Pallas’grissla,spetsbergsgrissla
Briinnichs grissla,sillgrissla
Briinnichs grissla,tobisgrissla
vanlig grissla,tobisgrissla
grisslo,spetsbergsgrissla
grodhök,tornfalk
grodhök,kärrhök
gro-orre,gråorr
gropsnäppa,skogssnäppa
gropsvala,skogssnäppa
grott,sillgrissla
grovt-gagel,grågås
grulla,större strandpipare
grulle,vattenrall
gruul,rödbena
gryll,större strandpipare
grylla (-e),tobisgrissla
gryllokarl,tobisgrissla
gryyl,tobisgrissla
gråand,bläsand
gråbena,skogssnäppa
gråbuk,gråsparv
gråbuk,pilfink
gråbus,alfågel
gråbus,knipa
gråbus,sjöorre
gråduk,gråsiska
gråduk,gråsparv
gråfalk,fjäll vråk
gråfink,gråsparv
gråfugel,gråsparv
gråfågel,tjäder
grågall,gråtrut
grågam,grågam
grågjuse,gråtrut
grågås,grågås
grågås,sädgås
grågäss,grågås
grågöling,gråspett
gråhakedopping,gråhakedopping
nordisk gråhakedopping,nordisk gråhakedopping 
gråhassel,sädesärla
grå-isilla,sädesärla
gråkappa,kråka
gråklera,taltrast
gråklädra,taltrast
gråknipa,knipa
gråkunt,gråsparv
gråkäla (-köla),grönsiska
gråla (gräla),vanlig glada
grålom,smålom
gråluns,gråsparv
gråmas,gråsparv
gråmas,pilfink
gråmes,kärrmes
gråmes,nordisk mes
gråmås,gråtrut
liten gråmåve,fiskmås
stor gråmåve,gråtrut
gråorr(e),orrhöna
gråpys,gråsparv
gråpys,pilfink
gråschas,pilfink
gråsel,gråsparv
gråsil,gråsparv
gråsiska,gråsiska
grönländsk gråsiska,grönländsk gråsiska
Hornemanns gråsiska,Hornemanns gråsiska
långnäbbad gråsiska,långnäbbad gråsiska
nordgrönländsk gråsiska,nordgrönländsk gråsiska
sibirisk gråsiska,sibirisk gråsiska
gråsjas,gråsparv 
gråsjas,pilfink
gråsjälstrut,gråsäls-
gråskrake,småskrake
gråskrake,storskrake
gråskroko,storskrake
gråskroko,småskrake
grå-skräcka,storskrake
grå-skräcka,småskrake
gråskälstrut,gråsäls-
gråsnapp,grå flugsnappare
gråsnäppa,grönbena
gråsparv,gråsparv
gråspeck,gråspeck
gråspett,gråspett
gråspick,gråsparv
gråspink,gråsparv
rödhuvad gråspink,rosenfink
gråss,gråsparv
gråstare,björktrast
gråstare,koltrast
gråstare,stare
grå-starre,stare
gråsvala,tornsvala
gråsångare,törnsångare
gråsäla,gråsparv
gråsälstrut,gråtrut
gråsälstrut,vittrut
gråtalle,gråsparv
gråtita,kärrmes
gråtita,nordisk mes
gråtjollp,gråsparv
gråtjuv,gråsparv
gråtjätt,gråsparv
gråtrast,björktrast
gråtrast,dubbeltrast
gråtrast,ungstare
gråtrut,gråtrut
gulfotad gråtrut,gulfotad gråtrut
gråträst,gråtrast
grått,tobisgrissla
gråtäckling,gråsparv 
gråtäckling,pilfink
gråtätting,gråsparv 
gråtätting,pilfink
gråvamb,gråsparv
gråärla,gråärla
gråärla,sädesärla
östlig gråärla,östlig gråärla
gråorr,orre
grägås,grågås
grä-isilla,steglitsa
gräk,bergfink
gräla,gråla
gränbäss-sparv,mindre korsnäbb
gränfågel,gransångare
gränskrika (-o),lavskrika
gränskrika (-o),nötskrika
gränsvärta (-o),kråka
gräntrast,björktrast
gräsand,gräsand
gräsand,kornknarr
gräshoppsångare,gräshoppsångare
liten gräshoppsångare,liten gräshoppsångare
gräsknarr,kornknarr
gräspar’t,gräsand
grässkära,kornknarr
grästrut,sillmås
grästärna,fisktärna
gräs-åd,ejderhona
grätrast,björktrast
grönbena,grönbena
grönbita,kungsfågel
grönfink,grönfink
sibirisk grönfink,sibirisk grönfink
gröngylling,gröngöling
gröngöling,gröngöling
gröngöling,gulsparv
gröngöling,kornsparv
gröngölja,gröngöling
grönhämpling,grönfink
gröning,grönfink
gröning,gulsparv
grönlandsduva,alkekung
grönlandsfalk,grönlandsfalk
grönlandsripa,grönlandsripa
grönling,grönfink
grönolja,gröngölja
grönsiska (-syska),grönsiska (-syska)
grönsisko,grönsiska (-syska)
grönspett,gröngöling
gråhövdad grönspett,gråspett
mindre grönspett,gråspett
grönspik,grönspik
grönsångare,grönsångare
grön-tak-ärla,gulärla
gröntjitt,gulsparv
gröntjätt,gulsparv
grötla,tobisgrissla
gubbe,sjöfåglar
guck,gök
gucku,gök
gud(d)ing,ejder
gudung(e),ejder
gularia,-ärla
gulbrösta,bastardnäktergal
guldfasan,fasan
guldmis,tofsmes
guldtrast,kinesisk trast
gul-gork-tjetare,gulärla
gulhämpling,gulhämpling
guling,sommargylling
gulkuckurälla,gulärla
gullskräcka,storskrake
gullärka,gulsparv
gullörn,kungsörn
gulnäbba,gulnäbbad hämpling
gulpenning,storskrake
gulpititjeta,gulärla
gulringärla,gulärla
gulringöla,nordlig gulärla
gulsiska,gulsparv
gulskräcka,storskrake
gulsparv,gulsparv
brunhuvad gulsparv,brunhuvad gulsparv
gulsparv,gulärla
gulsparv,ortolansparv
rysk gulsparv,rysk gulsparv
gulspeck,gulsparv
gulspink,gulsparv
gulspink,talgoxe
gulsäsälla,gulärla
gultrast,sommargyIling
gultätting,gulsparv
gulvamb,gulsparv
gulvästäräcka,gulärla
gulärla,gulärla
asiatisk gulärla,asiatisk gulärla
engelsk gulärla,engelsk gulärla
grönhuvad gulärla,engelsk gulärla
nordisk gulärla,nordlig gulärla
nordlig gulärla,nordlig gulärla
svarthuvad gulärla,nordlig gulärla
östasiatisk gulärla,asiatiskgulärla
gumphöns,bankivahöns
gyckla,strand-
gyllenrännä,gröngöling
gylling,sommargylling
gylta,kärrgylta
gytispov,grönbena
gyttje-spik,snäppa
gyttje-spov,snäppa.
gyttje-tyl,liten vadare
gåla-pititjitto,gulpititjeta
gålatjetare,gulsparv
gålatjitto,gulsparv
gålatjälespjärna,gulärla
gålbröst,gulsparv
gålsisko,gulsparv
gålsparv,gul-
gålspillintu,gulärla
gålspärv,gulsparv
gåmås,fjällabb
gås,gås
indisk gås,indisk gås
kinesisk gås,indisk gås
kortnäbbad gås,spetsbergsgås
rödhalsad gås,rödhalsad gås
sibirisk gås,indisk gås
Sushkins gås,Sushkins gås
rödhalsad gås,sädgås
turkisk gås,indisk gås
Vitalis gås,ejder
vitkindad gås,vitkindad gås
vitpannad gås,bläsgås
gåsgam,gåsgam
gås(e)karl,gås
gäddfres,bergfink
gäddfräs,bergfink
gäddfröken,strömstare
gäddtrast,björktrast
gäddtrast,sångtrast
gärdselsmyg,gärdsmyg
gärdsgårdsmesa,gärdsmyg
gärdsgårds-mygg,Sylvia-arterna o. följ.
gärdsmyg,gärdsmyg
gärspe,järpe
gärspgubbe -höna -kanke,järpe
göckpiig,gökpiga
gök,gök
amerikansk gök,amerikansk gök
gök(a)hora,amerikansk gök
gökdräng,amerikansk gök
gökpiga,amerikansk gök
göksmed,taltrast
gökspärring,gök (»förvandlad»)
göktit(a)(-teta) (-tät(a)),gök
göktyta,göktyta
göling,gröngöling
gölkukerella,gulärla
gölsiska,gulsparv
görel,grönbena
göukpigo,göktyta
göukspärring,göukspärring
göutji,gök
hackapigg,tobisgrissla
hackenspeta,hackspett
hackspett,hackspett
hackspett,större hackspett
hackspett,nötväcka
grå hackspett,nötväcka
gråhövdad hackspett,gråspett
grön hackspett,grön göling
liten hackspett,liten hackspett
mindre hackspett,liten hackspett
mellaneuropeisk mindre hackspett,mellaneuropeisk mindre hackspett
mellaneuropeisk hackspett,mellaneuropeisk hackspett
mindre östlig hackspett,mindre östlig hackspett
större hackspett,större hackspett
mellaneuropeisk större hackspett,mellaneuropeisk större hackspett
svart hackspett,spillkråka
tretåig hackspett,tretåig hackspett
vanlig hackspett,större hackspett
vitryggad,vitryggig hackspett
vitryggig hackspett
västeuropeisk hackspett,västeuropeisk hackspett
hackspik,hackspett
hackspik,nötväcka
hackspikunge,trädkrypare
hackspit,större hackspett
hackspjutt,-spett
hafgall,havgall
haflut,alfågel
hafzörn,hafzörn
hagall,gråtrut
hagall,havstrut
hagatitta,ljungpipare
haggall,sillmås
halsbandsflugsnappare,vithalsad flugsnappare
halsbandskaja,rysk kaja
hälsing,hälsing
halskragetrapp,kragtrapp
halvbeckasin,halvenkel beckasin
hampespink,hämpling
hampsparv,hämpling
hampspicke,hämpling
hampspik,bofink
hampspik,hämpling
hampspink,bofink
hampspärv,bofink
hampspärv,hämpling
hamptjetare,nordisk mes
hamptätting,bofink
hamptätting,hämpling
hamspickor,hämpling.
hane,tupp
haramjåker,enkelbeckasin
haramjäker,enkelbeckasin
haramäckra,enkelbeckasin
haren,pärl uggla
harfalk,fjälluggla
harfång,fjälluggla
harfång,kattuggla
harhök,duvhök
harlekinsand,strömand
harlekinsnäppa,svartsnäppa
harpoppla (-popplo -påpplu -pöpplo),pärluggla
hartin,skäggdopping
haruggla (hare-),berguv
haruggla (hare-),fjälluggla
haruggla (hare-),hornuggla
haruggla (hare-),kattuggla
hasehök,duvhök
haseuggla,berguv
hasselgök,härfågel
hasselhöna,morkulla
hasselorre,brushane
hasselorre,nötkråka
hatt,talghatt
meshatt,talghatt
hattman,skrattmås
hattmes,tofsmes
hattmås,hattmås
hauk,hök
hav-er,havsörn
havgajti,havsget
havgall,havstrut (se även hagall o.haggall)
havgall,sillmås
havgås,grågås
havhymber,islom
havhäst,stormfågel
havmåka,havstrut
havorre,sjöorre
havorre,svärta
havre,sjöorre
havregås,vitkindad gås
havreröt,svart stork
havsget,storlom
havsgjuse,havstrut
havsgloffs,havstrut.
havskorp,storskarv
havslabb,storlabb
havslom,(små)lom
havslöpare,havslöpare
havsmåka,havstrut






havsmås,havstrut
havsorr(e),sjöorre
havs(s)ula,havs(s)ula
havssvärta,svärta
havstjäder,storskarv
havstrut,havstrut
havsörn,havsörn
stor havsörn,havsörn
vanlig havsörn,havsörn
havsörn,storskarv
hedhök,blå kärrhök
hedhöna,ljungpipare
helgolandsgrissla,se under sillgrissla
helsing,se hälsing
hemduva,se under klippduva
herrkråka (ärr-),kråka
himbryn,islom
himlaget,enkelbeckasin
himmelsget,enkelbeckasin
himmelslärka,sånglärka
hjerpe,se järpe
hjulnål,sparvuggla
hjälmdykare,se understarik
hjärp,se järpe
holmgjuse,sillmås
holskräckja,storskrake
homåka,fiskmås
hornuggla,hornuggla
hornuv,berguv
hornuv,hornuggla
hornvipa,tofsvipa
horsgök,enkelbeckasin
horsgök,skogssnäppa(?)
horsskraka (-e),skäggdopping (?)
horsskraka (-e),storskrake
horsskräck(j)a,skäggdopping (?)
horsskräxa,skäggdopping (?)
horsskräxa,knipa
horsskräxa,storskrake
hrossagaukr,se horsgök
hugg(u)spit,(större) hackspett
hulkråk,spillkråka
hultaduva,skogsduva
hultadämpa,morkulla
hultenbilta,morkulla
hultenbölta,morkulla
hultingskrabba,morkulla
husfink,gråsparv
husstork,vit stork
hussvala,hussvala
hussvala,tomsvala
hussvälo,hussvala
hustruduva,ringduva
hustru-kapp,videsparv
husärla,sädesärla
hvenspole,se vindspole
